sample_id,trigger,delta_z_l2,relative_delta_norm,CD_trigger_to_clean,CD_clean_to_fixed_target,CD_trigger_to_fixed_target,fixed_target_gain,CD_clean_to_earphone,CD_trigger_to_earphone,earphone_gain,finite_trigger,visualization_path
0,torus,2.392146348953247,0.7567453980445862,0.015268870629370213,0.3246947228908539,0.3512265086174011,-0.02653178572654724,0.30880630016326904,0.3264863193035126,-0.01768001914024353,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_000.png
1,torus,1.0708566904067993,0.31527575850486755,0.00428324518725276,0.25954970717430115,0.2873152494430542,-0.027765542268753052,0.34455978870391846,0.31459444761276245,0.029965341091156006,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_001.png
2,torus,1.6587580442428589,0.5107135772705078,0.006624180823564529,0.3261675536632538,0.35524195432662964,-0.029074400663375854,0.28707510232925415,0.2608327269554138,0.026242375373840332,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_002.png
3,torus,1.7384345531463623,0.5360402464866638,0.0045104483142495155,0.32381731271743774,0.3456611931324005,-0.02184388041496277,0.301729679107666,0.2696206867694855,0.03210899233818054,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_003.png
4,torus,1.109948754310608,0.27864572405815125,0.006488403305411339,0.2617689371109009,0.31719720363616943,-0.055428266525268555,0.3395650088787079,0.28233417868614197,0.05723083019256592,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_004.png
5,torus,1.0108968019485474,0.26124316453933716,0.0038852307479828596,0.30432790517807007,0.33348971605300903,-0.029161810874938965,0.3143966794013977,0.284584641456604,0.0298120379447937,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_005.png
6,torus,1.5965873003005981,0.4666886329650879,0.004971745889633894,0.33973854780197144,0.3527247905731201,-0.012986242771148682,0.2984829545021057,0.279355525970459,0.01912742853164673,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_006.png
7,torus,0.11072594672441483,0.029687976464629173,0.0002377553901169449,0.2908145785331726,0.2932073473930359,-0.0023927688598632812,0.41481339931488037,0.41092443466186523,0.0038889646530151367,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_007.png
8,torus,0.8614003658294678,0.2604537606239319,0.005637878552079201,0.27867889404296875,0.27048012614250183,0.008198767900466919,0.3344699740409851,0.3187115788459778,0.015758395195007324,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_008.png
9,torus,1.761986494064331,0.7132413983345032,0.007693731226027012,0.3115358352661133,0.33858567476272583,-0.02704983949661255,0.3111124038696289,0.33700376749038696,-0.025891363620758057,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_009.png
10,torus,1.109802484512329,0.323304146528244,0.00399122666567564,0.33565571904182434,0.3594583570957184,-0.023802638053894043,0.27957528829574585,0.254502534866333,0.025072753429412842,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_010.png
11,torus,1.5746113061904907,0.5590410232543945,0.005018640775233507,0.32691940665245056,0.3517979383468628,-0.02487853169441223,0.29496026039123535,0.2662815451622009,0.028678715229034424,True,results_stage2_trigger_sensitivity/visualizations/trigger_torus_sample_011.png
