sample_idx,A_matched,B_mean,B_median,B_min,A_shuffled,C
0,0.50002646,0.7816473841667175,0.7309102416038513,0.5836485624313354,0.7849186,0.8682980537414551
1,0.7009644,0.6985681653022766,0.6652166843414307,0.5456685423851013,0.9732762,0.8449407815933228
2,0.7754332,0.6910977363586426,0.6560121774673462,0.5182744860649109,0.7381238,0.8371392488479614
3,0.7729655,0.7711611390113831,0.7584772109985352,0.5824311971664429,0.7510843,0.8707246780395508
4,0.62773067,0.7355383634567261,0.6931884288787842,0.5730710625648499,0.6557817,0.8044523000717163
5,0.7851444,0.7671290040016174,0.7441904544830322,0.5621185302734375,0.76449955,0.8363584280014038
6,0.7947131,0.7457766532897949,0.7211601734161377,0.5391108989715576,0.7781416,0.8044626116752625
7,0.39184555,0.9164559245109558,0.9698812961578369,0.4490104019641876,0.5453166,0.8390994071960449
8,0.49016625,0.8801552057266235,0.9075127840042114,0.42553478479385376,0.52431107,0.7880251407623291
9,0.6251502,0.7029427886009216,0.705264687538147,0.5247997641563416,0.7695762,0.9570680260658264
10,0.65688074,0.7308096289634705,0.7425662279129028,0.4623515009880066,0.64083415,0.7773607969284058
11,0.73180294,0.7445377707481384,0.7437635660171509,0.5736043453216553,0.80337185,0.850231409072876
12,0.49063268,0.7924138903617859,0.7796744704246521,0.5604157447814941,0.5599056,0.8383821249008179
13,0.37965545,0.8615927696228027,0.852898120880127,0.485903263092041,0.5144154,0.7683420181274414
14,0.7730307,0.7650527358055115,0.7640446424484253,0.6097999215126038,0.8476572,0.8644937872886658
15,0.6781927,0.6484614610671997,0.5822923183441162,0.42241403460502625,0.70744735,0.7951551675796509
16,0.72602516,0.6902329325675964,0.6913480758666992,0.5218150019645691,0.8136724,0.8481042385101318
17,0.6347343,0.7952992916107178,0.8204892873764038,0.5034599304199219,0.6186414,0.8330605626106262
18,0.56525505,0.7616416215896606,0.7763850688934326,0.4700465798377991,0.6356821,0.9339776039123535
19,0.5902866,0.786732017993927,0.7533739805221558,0.4985019266605377,0.5798934,0.8098657131195068
20,0.87137526,0.7103510499000549,0.7070352435112,0.514011800289154,0.96723163,0.7995644807815552
21,0.728108,0.6926630735397339,0.6931207180023193,0.4594939649105072,0.7499032,0.7970031499862671
22,0.74052674,0.7324706315994263,0.6738283634185791,0.5779353976249695,0.73546463,0.8291364908218384
23,0.77326524,0.7534549832344055,0.7454522252082825,0.5889495015144348,0.8934523,0.8271011114120483
24,0.87613076,0.8215964436531067,0.8021929264068604,0.4994589686393738,0.8573597,0.8748979568481445
25,0.77174956,0.717250645160675,0.6689634919166565,0.5432965755462646,0.7962819,0.7603940963745117
26,0.5462709,0.9725184440612793,0.9461486339569092,0.6961670517921448,0.49484965,0.8231753706932068
27,0.6131182,0.7797870635986328,0.7965967059135437,0.5170897245407104,0.69778895,0.8031230568885803
28,0.74632573,0.691862940788269,0.7003052234649658,0.5321547985076904,0.766715,0.8051935434341431
29,0.33580694,0.9120376706123352,0.9491462111473083,0.49103885889053345,0.7586282,0.7375239133834839
30,0.50530964,0.7116455435752869,0.6666419506072998,0.4773571193218231,0.5834521,0.8338817358016968
31,0.7794719,0.6879436373710632,0.6621079444885254,0.5218616127967834,0.855689,0.9019708633422852
32,0.8543837,0.7122383117675781,0.6830307245254517,0.500362753868103,0.7777609,0.8326741456985474
33,0.5948718,0.6710782051086426,0.6582397222518921,0.4745798707008362,0.6325647,0.8131163120269775
34,0.55259526,0.9119035005569458,0.9064409732818604,0.6324287056922913,0.6332389,0.7420739531517029
35,0.57686204,0.7086793780326843,0.7262477874755859,0.5376083850860596,0.5268021,0.8770761489868164
36,0.6375647,0.7862533330917358,0.7695075273513794,0.5910112261772156,0.62075526,0.8694722652435303
37,0.8311259,0.8128129839897156,0.8187599182128906,0.563968300819397,0.76066536,0.9238260388374329
38,0.57962054,0.7749412655830383,0.7400644421577454,0.5216593742370605,0.62390393,0.9047316908836365
39,0.53246266,0.7940012216567993,0.7461585998535156,0.43342581391334534,0.59472823,0.7531444430351257
40,0.7925938,0.7513484358787537,0.6712202429771423,0.5923107862472534,0.9406449,0.8329101800918579
41,0.5383205,0.7428999543190002,0.7425234317779541,0.4762080907821655,0.7122874,0.7088696360588074
42,0.55027825,0.7609387636184692,0.7357658743858337,0.5524868965148926,0.5747676,0.8473275899887085
43,0.55981344,0.7652150988578796,0.7599143385887146,0.5565772652626038,0.56877136,0.8584588766098022
44,0.61500263,0.7768630385398865,0.7826942801475525,0.5886535048484802,0.6717174,0.8270949721336365
45,0.66366214,0.66541987657547,0.6191384792327881,0.44794830679893494,0.7484014,0.8334368467330933
46,0.86717945,0.7282354235649109,0.7336610555648804,0.4846718907356262,0.8803429,0.8123804330825806
47,0.6551398,0.7206326723098755,0.7048875093460083,0.47979670763015747,0.8036672,0.8678638935089111
48,0.6737428,0.7388982176780701,0.7299124598503113,0.5969620943069458,0.82415235,0.8870554566383362
49,0.6884402,0.7204279899597168,0.7147879600524902,0.47357437014579773,0.6986457,0.7872054576873779
50,0.90015167,0.6841096878051758,0.6836992502212524,0.5419236421585083,0.99894154,0.7775525450706482
51,0.6419877,0.8190213441848755,0.8309296369552612,0.6183732748031616,0.6585917,0.8565422892570496
52,0.86674505,0.7190367579460144,0.6974534392356873,0.5679771900177002,1.2149622,0.7836239337921143
53,0.5510614,0.7050923705101013,0.6395543813705444,0.5173574686050415,0.5733862,0.733128011226654
54,0.8960971,0.7883439064025879,0.8037147521972656,0.6384299993515015,0.83420515,0.8754035234451294
55,0.8457343,0.5753158926963806,0.5423125624656677,0.4056902825832367,1.0344852,0.7002609968185425
56,0.8733165,0.7414480447769165,0.7304962873458862,0.5700400471687317,1.0200993,0.8252127170562744
57,0.7389537,0.6648638248443604,0.6381846070289612,0.4779251515865326,0.74248546,0.8516221046447754
58,0.73052776,0.6898001432418823,0.6532309055328369,0.4498140513896942,0.7896893,0.7616541385650635
59,0.56224954,0.7831076383590698,0.8148168921470642,0.5070579648017883,0.6050627,0.7271322011947632
60,0.80456513,0.7108995318412781,0.6741233468055725,0.4894730746746063,0.8056721,0.730805516242981
61,0.6067414,0.6323055624961853,0.5816863179206848,0.43914589285850525,0.7370674,0.8318673372268677
62,0.691164,0.7400015592575073,0.7702370285987854,0.5200231671333313,0.689942,0.8499801158905029
63,0.7826665,0.6786574721336365,0.6862853765487671,0.4910266399383545,0.8867489,0.8739490509033203
64,0.7899694,0.6821854710578918,0.6682528257369995,0.5512474179267883,0.89964974,0.7825539112091064
65,0.62256294,0.7493807077407837,0.7663328051567078,0.4770871102809906,0.60317796,0.8583670854568481
66,0.7088357,0.6910451650619507,0.6980888843536377,0.48610007762908936,0.6735295,0.824235737323761
67,0.57011193,0.7480740547180176,0.7074882984161377,0.4474739134311676,0.5902208,0.7700880765914917
68,0.6035945,0.7257689237594604,0.6626697778701782,0.4598555564880371,0.6213862,0.8044655919075012
69,0.6557453,0.777018666267395,0.7550687193870544,0.5676032304763794,0.63912886,0.8627675771713257
