sample_id,CD_gen_to_input_A_recomputed,CD_gen_to_normalized_earphone_C,A_lt_C
000,0.4950508177280426,1.7941666841506958,True
001,0.690565824508667,1.468030571937561,True
002,0.7747594118118286,1.4835174083709717,True
003,0.8083878755569458,1.544744849205017,True
004,0.6115685701370239,1.4153594970703125,True
005,0.778940737247467,1.4315049648284912,True
006,0.7683506011962891,1.4184495210647583,True
007,0.39328962564468384,1.7276653051376343,True
008,0.4813854396343231,1.6331181526184082,True
009,0.6253243684768677,1.6703617572784424,True
010,0.6516584753990173,1.4391807317733765,True
011,0.7378759384155273,1.530903697013855,True
012,0.5213803052902222,1.4158251285552979,True
013,0.3633481562137604,1.5285574197769165,True
014,0.7278423309326172,1.4595801830291748,True
015,0.6760811805725098,1.4158951044082642,True
